DOI,Publication Year,Authors,Article Title,Abstract,"Screening(Include=1,Exclude=0,maybe=2)","Full text check(Include=1,Exclude=0)",
10.1016/j.procs.2020.09.245,2020,"Prasse P., Jäger L.A., Makowski S., Feuerpfeil M., Scheffer T.",On the relationship between eye tracking resolution and performance of oculomotoric biometric identification,"Distributional properties of fixations and saccades are known to constitute biometric characteristics. Additionally, high-frequency micro-movements of the eyes have recently been found to constitute biometric characteristics that allow for faster and more robust biometric identification than just macro-movements. Micro-movements of the eyes occur on scales that are very close to the precision of currently available eye trackers. This study therefore characterizes the relationship between the temporal and spatial resolution of eye tracking recordings on one hand and the performance of a biometric identification method that processes micro- and macro-movements via a deep convolutional network. We find that that the deteriorating effects of decreasing both, the temporal and spatial resolution are not cumulative. We observe that on low-resolution data, the network reaches performance levels above chance and outperforms statistical approaches. © 2020 The Authors. Published by Elsevier B.V.",,,
10.1007/978-3-030-58610-2_44,2020,"Park S., Aksan E., Zhang X., Hilliges O.",Towards End-to-End Video-Based Eye-Tracking,"Estimating eye-gaze from images alone is a challenging task, in large parts due to un-observable person-specific factors. Achieving high accuracy typically requires labeled data from test users which may not be attainable in real applications. We observe that there exists a strong relationship between what users are looking at and the appearance of the user’s eyes. In response to this understanding, we propose a novel dataset and accompanying method which aims to explicitly learn these semantic and temporal relationships. Our video dataset consists of time-synchronized screen recordings, user-facing camera views, and eye gaze data, which allows for new benchmarks in temporal gaze tracking as well as label-free refinement of gaze. Importantly, we demonstrate that the fusion of information from visual stimuli as well as eye images can lead towards achieving performance similar to literature-reported figures acquired through supervised personalization. Our final method yields significant performance improvements on our proposed EVE dataset, with up to 28 % improvement in Point-of-Gaze estimates (resulting in 2. 49�?in angular error), paving the path towards high-accuracy screen-based eye tracking purely from webcam sensors. The dataset and reference source code are available at https://ait.ethz.ch/projects/2020/EVE. © 2020, Springer Nature Switzerland AG.",,,
10.1109/CVPR42600.2020.00734,2020,"Yu Y., Odobez J.-M.",Unsupervised representation learning for gaze estimation,"Although automatic gaze estimation is very important to a large variety of application areas, it is difficult to train accurate and robust gaze models, in great part due to the difficulty in collecting large and diverse data (annotating 3D gaze is expensive and existing datasets use different setups). To address this issue, our main contribution in this paper is to propose an effective approach to learn a low dimensional gaze representation without gaze annotations, which to the best of our best knowledge, is the first work to do so. The main idea is to rely on a gaze redirection network and use the gaze representation difference of the input and target images (of the redirection network) as the redirection variable. A redirection loss in image domain allows the joint training of both the redirection network and the gaze representation network. In addition, we propose a warping field regularization which not only provides an explicit physical meaning to the gaze representations but also avoids redirection distortions. Promising results on few-shot gaze estimation (competitive results can be achieved with as few as �?100 calibration samples), cross-dataset gaze estimation, gaze network pretraining, and another task (head pose estimation) demonstrate the validity of our framework. © 2020 IEEE",,,
10.1007/978-3-030-59716-0_42,2020,"You F., Khakhar R., Picht T., Dobbelstein D.",VR Simulation of Novel Hands-Free Interaction Concepts for Surgical Robotic Visualization Systems,"In microsurgery, visualization systems such as the traditional surgical microscope are essential, as surgeons rely on the highly magnified stereoscopic view for performing their operative tasks. For well-aligned visual perspectives onto the operating field during surgery, precise adjustments of the positioning of the system are frequently required. This, however, implies that the surgeon has to reach for the device and each time remove their hand(s) from the operating field, i.e. a disruptive event to the operative task at hand. To address this, we propose two novel hands-free interaction concepts based on head-, and gaze-tracking, that should allow surgeons to efficiently control the 6D positioning of a robotic visualization system with little interruptions to the main operative task. The new concepts were purely simulated in a virtual reality (VR) environment using a HTC Vive for a robotic visualization system. The two interaction concepts were evaluated within the virtual reality simulation in a quantitative user study with 11 neurosurgeons at the Charité hospital and compared to conventional interaction with a surgical microscope. After a brief introduction to the interaction concepts in the virtual reality simulation, neurosurgeons were 29% faster in reaching a set of virtual targets (position and orientation) in simulation as compared to reaching equivalent physical targets on a 3D-printed reference object. © 2020, Springer Nature Switzerland AG.",,,
10.1117/12.2555676,2020,"Leong-Hoi A., Murat S., Acker T., Sattler Q., Radoux J.-P.",Touchless interface interaction by hand tracking with a depth camera and a Convolutional Neural Network,"In operating rooms (OR), physicians have to work in strict compliance to asepsis rules to not endanger the health of patients. In the case of laparoscopic mini-invasive surgery, where the field of view of the surgeon is restricted, the use of computers is necessary to provide the missing information. Physicians must therefore interact with computers either by directly manipulating mouse and keyboard, by removing their gloves or by using a protection for the devices, or by voice-commanding an assistant to do so. However, in addition to be time-consuming, it may cause hygiene issues in the first case and a lack of precision in the second. The need to have better way of interactions with computers had led to important researches in that area during the last ten years, especially in Touchless Human Machine Interaction (THMI). Indeed, THMI, including gesture recognition, voice recognition and eye-tracking, has a promising future in the medical field, allowing surgeons to interact by themselves with devices, thereby avoiding error-prone process while complying to asepsis rules. In this context, the “Intelligent Touchless Glassless Human-Machine Interface�?(ITG-HMI) project aims to provide a new tool for viewing and manipulating 3D objects. In this article, we present how this interface was implemented, through the detection and recognition of hand gestures using Deep Learning, the establishment of a graphical interface to display 3D models and the adaptation of gestures recognized in actions to achieve. © 2020 SPIE",,,
10.1007/978-3-030-59716-0_51,2020,"Jiao J., Cai Y., Alsharid M., Drukker L., Papageorghiou A.T., Noble J.A.",Self-Supervised Contrastive Video-Speech Representation Learning for Ultrasound,"In medical imaging, manual annotations can be expensive to acquire and sometimes infeasible to access, making conventional deep learning-based models difficult to scale. As a result, it would be beneficial if useful representations could be derived from raw data without the need for manual annotations. In this paper, we propose to address the problem of self-supervised representation learning with multi-modal ultrasound video-speech raw data. For this case, we assume that there is a high correlation between the ultrasound video and the corresponding narrative speech audio of the sonographer. In order to learn meaningful representations, the model needs to identify such correlation and at the same time understand the underlying anatomical features. We designed a framework to model the correspondence between video and audio without any kind of human annotations. Within this framework, we introduce cross-modal contrastive learning and an affinity-aware self-paced learning scheme to enhance correlation modelling. Experimental evaluations on multi-modal fetal ultrasound video and audio show that the proposed approach is able to learn strong representations and transfers well to downstream tasks of standard plane detection and eye-gaze prediction. © 2020, Springer Nature Switzerland AG.",,,
10.1007/978-3-030-58820-5_58,2020,"Freitas L.F.S., Ancioto A.S.R., de Fátima Rodrigues Guimarães R., Martins V.F., Dias D.R.C., de Paiva Guimarães M.",A Virtual Reality Simulator to Assist in Memory Management Lectures,"Virtual reality technology can assist the teaching-learning process via concrete concepts that follow a sequence of steps to accomplish a task in a three-dimensional space, as proven in the literature (e.g., operating a vehicle or disaster relief simulation). However, it is not clear whether virtual reality can also enhance situations involving concepts that are not inherently related to a three-dimensional space, such as the execution of a computer algorithm. This paper presents an immersive and interactive virtual reality simulator that can aid in the teaching of the memory management functionality of operating systems, including single, fixed and dynamic contiguous techniques, and the non-contiguous technique of paging. Learners are immersed inside a computer motherboard to learn memory management functionality of operating systems. They use a head-mounted display such as 3D virtual reality headsets and can interact with the environment using eye-gaze tracking and a joystick. We also present a case study in which 80 students were divided into two groups to evaluate the simulator. Our results indicate that using our simulator is a more effective approach for teaching memory management concepts than expositive classes. The functionality and usability tests results highlighted the positive aspects of the simulator and improvements that could be made. © 2020, Springer Nature Switzerland AG.",,,
10.1117/12.2568883,2020,"Jin Y., Chen M., Bell T.G., Wan Z., Bovik A.",Study of 2D foveated video quality in virtual reality,"In Virtual Reality (VR), the necessity of immersive videos leads to greater challenges in compression and communication owing to the much higher spatial resolution, rapid, and the often real-time changes in viewing direction. Foveation in displays exploits the space-variant density of the retinal photoreceptors, which decreases exponentially with increasing eccentricity, to reduce the amount of data from the visual periphery. Foveated compression is gaining relevance and popularity for Virtual Reality. Likewise, being able to predict the quality of displayed foveated and compressed content has become more important. Towards advancing the development of objective quality assessment algorithms for foveated and compressed measurements of VR video contents, we built a new VR database of foveated/compressed videos, and conducted a human study of perceptual quality on it. A foveated video player having low motion-to-photon latency (50ms) was designed to meet the requirements of smooth playback, while an eye tracker was deployed to provide gaze direction in real time. We generated 180 distorted videos from 10 pristine 8K videos (30fps) having varying levels and combinations of foveation and compression distortions. These contents were viewed and quality-rated by 36 subjects in a controlled VR setting. Both the subject ratings and the eye tracking data are being made available along with the rest of the database. © 2020 SPIE",,,
10.20965/JACIII.2020.P0676,2020,"Kanda D., Kawai S., Nobuhara H.",Visualization method corresponding to regression problems and its application to deep learning-based gaze estimation model,"The human gaze contains substantial personal information and can be extensively employed in several applications if its relevant factors can be accurately measured. Further, several fields could be substantially innovated if the gaze could be analyzed using popular and familiar smart devices. Deep learning-based methods are robust, making them crucial for gaze estimation on smart devices. However, because internal functions in deep learning are black boxes, deep learning systems often make estimations for unclear reasons. In this paper, we propose a visualization method corresponding to a regression problem to solve the black box problem of the deep learning-based gaze estimation model. The proposed visualization method can clarify which region of an image contributes to deep learning-based gaze estimation. We visualized the gaze estimation model proposed by a research group at the Massachusetts Institute of Technology. The accuracy of the estimation was low, even when the facial features important for gaze estimation were recognized correctly. The effectiveness of the proposed method was further determined through quantitative evaluation using the area over the MoRF perturbation curve (AOPC). © 2020 Fuji Technology Press. All rights reserved.",,,
10.1145/3405962.3405966,2020,"Fu B., Steichen B., McBride A.",Tumbling to Succeed: A Predictive Analysis of User Success in Interactive Ontology Visualization,"Ontology visualization is an important component in the support of human-ontology interaction, as it amplifies cognition and offloads cognitive efforts to the human perceptual system. While a significant amount of research efforts has focused on designing and developing various visual layouts and improve performance of large-scale visualizations, the differences in user preferences and cognitive abilities have been largely overlooked. This provides an opportunity to investigate ways to potentially provide more personalized visual support in human-ontology interaction. To this end, this paper demonstrates successful predictions on an individual user's likelihood to succeed in a given task, based on this person's gaze data collected during interaction. Specifically, we show several statistically significant predictions against a baseline classifier when inferring users' success before a given task is actually completed. Moreover, we present results showing that accurate predictions of user success can be achieved early on during user interaction, such as after just a few minutes in some cases. These findings suggest there are ample opportunities throughout various stages of human-ontology interaction where the underlying visual system may adapt in real time to the user's visual needs to provide the most appropriate visualization with the overall goal of possibly increasing user success in a given task. © 2020 ACM.",,,
10.1007/978-3-030-58465-8_5,2020,"George C., Buschek D., Ngao A., Khamis M.",Gazeroomlock: Using gaze and head-pose to improve the usability and observation resistance of 3d passwords in virtual reality,"Authentication has become an important component of Immersive Virtual Reality (IVR) applications, such as virtual shopping stores, social networks, and games. Recent work showed that compared to traditional graphical and alphanumeric passwords, a more promising form of passwords for IVR is 3D passwords. This work evaluates four multimodal techniques for entering 3D passwords in IVR that consist of multiple virtual objects selected in succession. Namely, we compare eye gaze and head pose for pointing, and dwell time and tactile input for selection. A comparison of a) usability in terms of entry time, error rate, and memorability, and b) resistance to real world and offline observations, reveals that: multimodal authentication in IVR by pointing at targets using gaze, and selecting them using a handheld controller significantly improves usability and security compared to the other methods and to prior work. We discuss how the choice of pointing and selection methods impacts the usability and security of 3D passwords in IVR. © Springer Nature Switzerland AG 2020.",,,
10.1109/ACCESS.2020.3017680,2020,"Mao Y., He Y., Liu L., Chen X.",Disease Classification Based on Synthesis of Multiple Long Short-Term Memory Classifiers Corresponding to Eye Movement Features,"Medical research confirms that eye movement abnormalities are related to a variety of psychological activities, mental disorders and physical diseases. However, as the specific manifestations of various diseases in terms of eye movement disorders remain unclear, the accurate diagnosis of diseases according to eye movement is difficult. In this paper, a deep neural network (DNN) method is employed to establish a disease discrimination model according to eye movement. First, multiple eye-tracking experiments are designed to obtain eye images. Second, pupil characteristics, including position and size, are extracted, and the feature vectors of eye movement are obtained from the normalized pupil information. Based on a long short-term memory (LSTM) network, a classifier that corresponds to each feature, which is referred to as a weak classifier, is built. The experimental samples are preclassified, and the classification ability of each weak classifier for different diseases is also calculated. Last, a strong classifier is achieved for disease discrimination by synthesizing all the weak classifiers and their classification abilities. By classification testing for three categories of healthy controls, brain injury patients and vertigo patients, the experimental results demonstrated the efficiency of this method. With the deep learning method, more medical information can be excavated from eye movement to improve the values in disease diagnosis. © 2013 IEEE.",,,
,2020,"Küchemann S., Klein P., Becker S., Kumari N., Kuhn J.",Classification of students' conceptual understanding in STEM education using their visual attention distributions: A comparison of three machine-learning approaches,"Line-Graphs play a central role in STEM education, for instance, for the instruction of mathematical concepts or for analyzing measurement data. Consequently, they have been studied intensively in the past years. However, despite this wide and frequent use, little is known about students' visual strategy when solving line-graph problems. In this work, we study two example line-graph problems addressing the slope and the area concept, and apply three supervised machine-learning approaches to classify the students performance using visual attention distributions measured via remote eye tracking. The results show the dominance of a large-margin classifier at small training data sets above random decision forests and a feed-forward artificial neural network. However, we observe a sensitivity of the large-margin classifier towards the discriminatory power of used features which provides a guide for a selection of machine learning algorithms for the optimization of adaptive learning environments. Copyright © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved",,,
,2020,"Lediaeva I., LaViola J.J., Jr.",Evaluation of Body-referenced graphical menus in virtual environments,"Graphical menus have been extensively used in desktop applications and widely adopted and integrated into virtual environments (VEs). However, while desktop menus are well evaluated and established, adopted 2D menus in VEs are still lacking a thorough evaluation. In this paper, we present the results of a comprehensive study on body-referenced graphical menus in a virtual environment. We compare menu placements (spatial, arm, hand, and waist) in conjunction with various shapes (linear and radial) and selection techniques (ray-casting with a controller device, head, and eye gaze). We examine task completion time, error rates, number of target re-entries, and user preference for each condition and provide design recommendations for spatial, arm, hand, and waist graphical menus. Our results indicate that the spatial, hand, and waist menus are significantly faster than the arm menus, and the eye gaze selection technique is more prone to errors and has a significantly higher number of target re-entries than the other selection techniques. Additionally, we found that a significantly higher number of participants ranked the spatial graphical menus as their favorite menu placement and the arm menu as their least favorite one. © 2020 Canadian Information Processing Society. All rights reserved.",,,
10.24132/CSRN.2020.3001.18,2020,"Garro V., Sundstedt V.",Pose and visual attention: Exploring the effects of 3D shape near-isometric deformations on gaze,"Recent research in 3D shape analysis focuses on the study of visual attention on rendered 3D shapes investigating the impact of different factors such as material, illumination, and camera movements. In this paper, we analyze how the pose of a deformable shape affects visual attention. We describe an eye-tracking experiment that studied the influence of different poses of non-rigid 3D shapes on visual attention. The subjects free-viewed a set of 3D shapes rendered in different poses and from different camera views. The fixation maps obtained by the aggregated gaze data were projected onto the 3D shapes and compared at vertex level. The results indicate an impact of the pose for some of the tested shapes and also that view variation influences visual attention. The qualitative analysis of the 3D fixation maps shows high visual focus on the facial regions regardless of the pose, coherent with previous works. The visual attention variation between poses appears to correspond to geometric salient features and semantically salient parts linked to the action represented by the pose. © 2020, Vaclav Skala Union Agency. All rights reserved.",,,
10.1109/ACCESS.2020.3013540,2020,"Akinyelu A.A., Blignaut P.",Convolutional Neural Network-Based Methods for Eye Gaze Estimation: A Survey,"Eye tracking is becoming a very important tool across many domains, including human-computer-interaction, psychology, computer vision, and medical diagnosis. Different methods have been used to tackle eye tracking, however, some of them are inaccurate under real-world conditions, while some require explicit user calibration which can be burdensome. Some of these methods suffer from poor image quality and variable light conditions. The recent success and prevalence of deep learning have greatly improved the performance of eye-tracking. The availability of large-scale datasets has further improved the performance of deep learning-based methods. This article presents a survey of the current state-of-the-art on deep learning-based gaze estimation techniques, with a focus on Convolutional Neural Networks (CNN). This article also provides a survey on other machine learning-based gaze estimation techniques. This study aims to empower the research community with valuable and useful insights that can enhance the design and development of improved and efficient deep learning-based eye-tracking models. This study also provides information on various pre-trained models, network architectures, and open-source datasets that are useful for training deep learning models. © 2013 IEEE.",,,
10.1080/21681163.2020.1799867,2020,"Ben Slama A., Sahli H., Mouelhi A., Marrakchi J., Sayadi M., Trabelsi H.",DBN-DNN: discrimination and classification of VNG sequence using deep neural network framework in the EMD domain,"The Vestibulo-ocular response VOR is characterized by a smooth pursuit eye movements in one direction, called slow phase of ocular nystagmus, interrupted by resetting saccades fast phase of nystagmus in the other direction. Recording of ocular nystagmus during vestibular tests does not quantify the true response of the vestibulo-ocular reflex (VOR). In order to extract the real VOR, our study is focused on nystagmus analysis using videonystagmography (VNG) technique based on measuring amplitude vibration of eyeball movement. The effectiveness of this attendance is severely topic to the attention and the experience of ENT doctors. In this case, automatic methods of image analysis offer the possibility of obtaining a homogeneous, objective and above all fast diagnosis of vestibular disorder.  In this paper, a fully automatic system based on nystagmus parameter analysis using a pupil detection algorithm is proposed. After a segmentation stage, a deep neural Network based classification method is applied on 90 eye movement recordings from videonystagmography (VNG) containing two types of peripheral vestibular disorders and normal patients. Experimental results obtained after several simulation, show the efficiency of the proposed methodology when compared with other classification methods. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",,,
10.1007/978-3-030-50729-9_9,2020,"Khatri J., Moghaddasi M., Llanes-Jurado J., Spinella L., Marín-Morales J., Guixeres J., Alcañiz M.",Optimizing virtual reality eye tracking fixation algorithm thresholds based on shopper behavior and age,"Eye tracking (ET) is becoming a popular tool to study the consumer behavior. One of the significant problems that arise with ET integrated into 3D virtual reality is defining fixations and saccades, which are essential part of feature extraction in ET analysis and have a critical impact on higher level analysis. In this study, the ET data from 60 subjects, were recorded. To define the fixations, Dispersion Threshold Identification algorithm was used which requires to define several thresholds. Since there are multiple thresholds and extracted features, a Multi-Objective Reinforcement Learning (MORL) algorithm was implemented to solve this problem. The objective of the study was to optimize these thresholds in order to improve accuracy of classification of the age based on different visual patterns undertaken by the subject during shopping in a virtual store. Regarding the nature of the classification, the objective for this optimization problem was to maximize the differences between the averages of each feature in different classes and minimize the variances of the same feature within each class. For the current study, thresholds optimization has shown an improvement in results for the accuracies of classification between age groups after applying the MORL algorithm. In conclusion, the results suggest that the optimization of thresholds is an important factor to improve feature extraction methods and in turn improve the overall results of an ET study involving consumer behavior inside virtual reality. This method can be used to optimize thresholds in similar studies to provide improved accuracy of classification results. © Springer Nature Switzerland AG 2020.",,,
,2020,"van der Graaf J., Molenaar I., Lim L., Fan Y., Engelmann K., Gašević D., Bannert M.",Facilitating self-regulated learning with personalized scaffolds on student’s own regulation activities,"The focus of education is increasingly set on students�?ability to regulate their own learning within technology-enhanced learning environments. Scaffolds have been used to foster self-regulated learning, but scaffolds often are standardized and do not do not adapt to the individual learning process. Learning analytics and machine learning offer an approach to better understand SRL-processes during learning. Yet, current approaches lack validity or require extensive analysis after the learning process. The FLORA project aims to investigate how to advance support given to students by i) improving unobtrusive data collection and machine learning techniques to gain better measurement and understanding of SRL-processes and ii) using these new insights to facilitate student’s SRL by providing personalized scaffolds. We will reach this goal by investigating and improving trace data in exploratory studies (exploratory study1 and study 2) and using the insight gained from these studies to develop and test personalized scaffolds based on individual learning processes in laboratory (experimental study 3 and study 4) and a subsequent field study (field study 5). At the moment study 2 is ongoing. The setup consists of a learning environment presented on a computer with a screen-based eye-tracker. Other data sources are log files and audio of students�?think aloud. The analysis will focus on detecting sequences that are indicative of micro-level self-regulated learning processes and aligning them between the different data sources. Copyright © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International 1 (CC BY 4.0).",,,
10.1007/978-3-030-50506-6_12,2020,"Hasegawa S., Hirako A., Zheng X., Karimah S.N., Ota K., Unoki T.",Learner’s mental state estimation with pc built-in camera,"The purpose of this research is to estimate learners�?mental states such as difficulty, interest, fatigue, and concentration that change with the time series between learners and their learning tasks. Nowadays, we have many opportunities to learn specific topics in the individual learning process, such as active learning and self-directed learning. In such situations, it is challenging to grasp learners�?progress and engagement in their learning process. Several studies have estimated learners�?engagement from facial images/videos in the learning process. However, there is no extensive benchmark dataset except for the video watching process. Therefore, we gathered learners�?videos with facial expression and retrospective self-report from 19 participants through the CAB test process using a PC built-in camera. In this research, we applied an existing face image recognition library Face++ to extract the data such as estimated emotion, eye gaze, face orientation, face position (percentage on the screen) by each frame of the videos. Then, we built a couple of machine learning models, including deep learning methods, to estimate their mental states from the facial expressions and compared them with the average accuracy of prediction. The results demonstrated the potential of the proposed method to the estimation and provided the improvement plan from the accuracy point of view. © Springer Nature Switzerland AG 2020.",,,
10.1007/978-3-030-49065-2_35,2020,"Monaro M., Capuozzo P., Ragucci F., Maffei A., Curci A., Scarpazza C., Angrilli A., Sartori G.",Using blink rate to detect deception: A study to validate an automatic blink detector and a new dataset of videos from liars and truth-tellers,"Eye-blink is a sensitive index of cognitive load and some studies have reported that it can be a useful cue for detecting deception. However, it is difficult to apply in the real forensic scenario as very complex techniques to record eye blinking are usually needed (e.g., electrooculography, eye tracker technology). In this paper, we propose a new approach to automatically detect eye blinking based on a computer vision algorithm, which does not require any expensive technology to record data. Results demonstrated that the automatic blink detector reached an accuracy similar to the electrooculogram in detecting the blink rate. Moreover, the automatic blink detector was applied to 68 videos of people who were lying or telling the truth about a past holiday, testing the difference between the two groups in terms of blink rate and response timing. Training machine learning classification models on these features, an accuracy up to 70% in identifying liars and truth-tellers was obtained. © Springer Nature Switzerland AG 2020.",,,
10.1007/978-3-030-49282-3_10,2020,"Larradet F., Barresi G., Mattos L.S.",Affective communication enhancement system for locked-in syndrome patients,"Patients with Locked-In Syndrome such as people with Amyotrophic Lateral Sclerosis (ALS) rely on technology for basic communication. However, available Augmentative and Alternative Communication (AAC) tools such as gaze-controlled keyboards have limited abilities. In particular, they do not allow for expression of emotions in addition to words. In this paper we propose a novel gaze-based speaking tool that enable locked-in syndrome patients to express emotions as well as sentences. It also features patient-controlled emotionally modulated speech synthesis. Additionally, an emotional 3D avatar can be controlled by the patient to represent emotional facial-expressions. The systems were tested with 36 people without disabilities separated into an affective group - full control of emotional voice, avatar facial expressions and laugh - and a control group - no emotional tools. The study proved the system’s capacity to enhance communication for both the patient and the interlocutor. The emotions embedded in the synthesized voices were found recognizable at 80% on the first trial and 90% on the second trial. The conversation was perceived as more natural when using the affective tool. The subjects felt it was easier to express and identify emotions using this system. The emotional voice and the emotional avatar were found to help the conversation. This highlights the needs for more affective-driven communicative solutions for locked-in patients. © Springer Nature Switzerland AG 2020.",,,
10.1007/978-3-030-49907-5_22,2020,"Babicsné-Horváth M., Hercegfi K.",The difficulties in usability testing of 3-dimensional software applying eye-tracking methodology �?Presented via two case studies of evaluation of digital human modelling software,"Eye-tracking based usability testing methods today are very accepted by researchers. These methods are ones of the most commons in human-computer interaction. There are various types of applications of these methods in software or web usability area, however, there is a difficulty during usability tests with the 3D environment. The problem is occurred when the participant wants to rotate, zoom or move the 3D space. In these cases, the gaze plots, the heatmaps, or the statistics of Area of Interests (AOI) cannot be used regarding the 3D workspace. The data on the menu bar is interpretable, however, on the 3D environment hardly or not at all. In our research, we tested ViveLab and Jack Digital Human Modelling (DHM) software knowing the mentioned problem. Our goal was dual. Firstly, with this usability tests, we wanted to detect the issues in the software. Secondly, we tested the utility of a new methodology which was included the tests. At one point of the usability test, the participants was asked not to move the 3D space, while they had to perform the given tasks. Several methods were used to locate the usability problems of the software. During the tests, we applied eye-tracking method, and after that, each participant was interviewed. Based on the experiences of this research, we can advise future researchers testing similar products. This methodology is useful, and applicable in other related usability tests, and its visualisation techniques for one or more participants are interpretable. © Springer Nature Switzerland AG 2020.",,,
10.1007/978-3-030-49062-1_18,2020,"Wang C., Biancardi B., Mancini M., Cafaro A., Pelachaud C., Pun T., Chanel G.",Impression Detection and Management Using an Embodied Conversational Agent,"Embodied Conversational Agents (ECAs) are a promising medium for human-computer interaction, since they are capable of engaging users in real-time face-to-face interaction [1, 2]. Users�?formed impressions of an ECA (e.g. favour or dislike) could be reflected behaviourally [3, 4]. These impressions may affect the interaction and could even remain afterwards [5, 7]. Thus, when we build an ECA to impress users, it is important to detect how users feel about the ECA. The impression the ECA leaves can then be adjusted by controlling its non-verbal behaviour [7]. Motivated by the role of ECAs in interpersonal interaction and the state-of-the-art on affect recognition, we investigated three research questions: 1) which modality (facial expressions, eye movements, and physiological signals) reveals most of the formed impressions; 2) whether an ECA could leave a better impression by maximizing the impression it produces; 3) whether there are differences in impression formation during human-human vs. human-agent interaction. Our results firstly showed the interest to use different modalities to detect impressions. An ANOVA test indicated that facial expressions performance outperforms the physiological modality performance (M = 1.27, p = 0.02). Secondly, our results presented the possibility of creating an adaptive ECA. Compared with the randomly selected ECA behaviour, participants�?ratings tended to be higher in the conditions where the ECA adapted its behaviour based on the detected impressions. Thirdly, we found similar behaviour during human-human vs. human-agent interaction. People treated an ECA similarly to a human by spending more time observing the face area when forming an impression. © 2020, Springer Nature Switzerland AG.",,,
10.1007/978-3-030-51828-8_88,2020,"Suk H.J., Kim S.J.",The effect of ocular dominance on decision making in a virtual environment,"Human laterality is the preference of an individual to use one side of their body rather than the other. Ocular dominance, also known as eye dominance, is one type of laterality in that eye dominance affects human visual perception. This study explores how ocular human laterality is associated with decision making in determining one choice from the left or right and top or bottom. Two simple tasks are developed running in a virtual environment in which a user wears a head-mounted display and observes two 3D ball shape objects that one moves to the left and the other moves to the right side of their eyes. The user performs the same task as the direction of the ball movement is changed to up and down. An eye-tracking device is used to measure the users�?decision on the two tasks by tracking down their eye movements. A user study conducted with a total of 20 college students, ages ranged from 18 to 30 years old, revealed that there was a significant relationship between eye dominance and their decision making. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2020.",,,
10.1007/978-3-030-50732-9_19,2020,"Almenara C.A., Aimé A., Maïano C.",Effect of Online Weight Loss Advertising in Young Women with Body Dissatisfaction: An Experimental Protocol Using Eye-Tracking and Facial Electromyography,"The weight loss industry is projected to reach USD$ 278.95 billion worldwide by 2023. Weight loss companies devote a large part of their budget for advertising their products. Unfortunately, as revealed by the Federal Trade Commission (FTC), there are many deceptive ads. The effect of weight loss advertising on consumer’s diet and eating behavior is so large that it has been proposed a causal relationship between advertising and diet. Adolescents, women with appearance concerns, and obese people, are the most vulnerable consumers for this kind of advertising. Within the Internet, most weight loss products are advertised under algorithmic rules. This algorithmic regulation refers to the online advertising being established by a series of rules (i.e., algorithms). These algorithms collect information about our online identity and behavior (e.g., sociodemographic characteristics, online searches we do, online content we download, “liked�?content, etc.), to personalize the content displayed while we browse the Internet. Because of it, this algorithmic regulation has been described as a “filter bubble�? because most content we see on the Internet is reflecting our idiosyncratic interests, desires, and needs. Following this paradigm, this study presents a research protocol to experimentally examine the effect of online weight loss advertising in the attention (using eye-tracking) and physiological response (using facial electromyography) of women with different levels of body dissatisfaction. The protocol describes the methodology for: participants�?recruitment; collecting weight loss ads; and the experimental study, which includes the stimuli (ads) and the responses (eye fixations and facial muscles activity). © 2020, Springer Nature Switzerland AG.",,,
10.1109/ACCESS.2020.3006700,2020,"Bruno A., Gugliuzza F., Pirrone R., Ardizzone E.",A Multi-Scale Colour and Keypoint Density-Based Approach for Visual Saliency Detection,"In the first seconds of observation of an image, several visual attention processes are involved in the identification of the visual targets that pop-out from the scene to our eyes. Saliency is the quality that makes certain regions of an image stand out from the visual field and grab our attention. Saliency detection models, inspired by visual cortex mechanisms, employ both colour and luminance features. Furthermore, both locations of pixels and presence of objects influence the Visual Attention processes. In this paper, we propose a new saliency method based on the combination of the distribution of interest points in the image with multiscale analysis, a centre bias module and a machine learning approach. We use perceptually uniform colour spaces to study how colour impacts on the extraction of saliency. To investigate eye-movements and assess the performances of saliency methods over object-based images, we conduct experimental sessions on our dataset ETTO (Eye Tracking Through Objects). Experiments show our approach to be accurate in the detection of saliency concerning state-of-the-art methods and accessible eye-movement datasets. The performances over object-based images are excellent and consistent on generic pictures. Besides, our work reveals interesting findings on some relationships between saliency and perceptually uniform colour spaces. © 2013 IEEE.",,,
