作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,归属机构,带归属机构的作者,摘要,作者关键字,索引关键字,文献类型,出版阶段,开放获取,来源出版物,EID
"Fuhl W., Rosenstiel W., Kasneci E.","56770084800;7006528940;56059892600;","500,000 Images Closer to Eyelid and Pupil Segmentation",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11678 LNCS",,,"336","347",,10,"10.1007/978-3-030-29888-3_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072858556&doi=10.1007%2f978-3-030-29888-3_27&partnerID=40&md5=d806ec303877e7b34956b7ed3b749580","Eberhard Karls University Tübingen, Tübingen, 72076, Germany","Fuhl, W., Eberhard Karls University Tübingen, Tübingen, 72076, Germany; Rosenstiel, W., Eberhard Karls University Tübingen, Tübingen, 72076, Germany; Kasneci, E., Eberhard Karls University Tübingen, Tübingen, 72076, Germany","Human gaze behavior is not the only important aspect about eye tracking. The eyelids reveal additional important information; such as fatigue as well as the pupil size holds indications of the workload. The current state-of-the-art datasets focus on challenges in pupil center detection, whereas other aspects, such as the lid closure and pupil size, are neglected. Therefore, we propose a fully convolutional neural network for pupil and eyelid segmentation as well as eyelid landmark and pupil ellipsis regression. The network is jointly trained using the Log loss for segmentation and L1 loss for landmark and ellipsis regression. The application of the proposed network is the offline processing and creation of datasets. Which can be used to train resource-saving and real-time machine learning algorithms such as random forests. In addition, we will provide the worlds largest eye images dataset with more than 500,000 images DOWNLOAD. © 2019, Springer Nature Switzerland AG.","Eye tracking; Eyelid opening; Eyelid regression; Eyelid segmentation; Landmark detection; Landmark regression; Pupil ellipses regression; Pupil segmentation","Behavioral research; Decision trees; Image analysis; Image segmentation; Learning algorithms; Machine learning; Neural networks; Regression analysis; Eyelid opening; Eyelid regression; Eyelid segmentation; Landmark detection; Landmark regression; Pupil ellipses regression; Pupil segmentation; Eye tracking",Conference Paper,"Final","",Scopus,2-s2.0-85072858556
"Martínez Zárate J., Mateus Santiago S.","57211167759;25522291400;","Sentiment Analysis Through Machine Learning for the Support on Decision-Making in Job Interviews",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11786 LNCS",,,"202","213",,1,"10.1007/978-3-030-30033-3_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072854620&doi=10.1007%2f978-3-030-30033-3_16&partnerID=40&md5=6ce7f801f9d146247720fec4d7cca7c6","Politécnico Colombiano Jaime Isaza Cadavid, Medellín, Colombia","Martínez Zárate, J., Politécnico Colombiano Jaime Isaza Cadavid, Medellín, Colombia; Mateus Santiago, S., Politécnico Colombiano Jaime Isaza Cadavid, Medellín, Colombia","In this paper, we propose a sentiment analysis model using machine learning for the support on decision-making in the process of job interviews. To do this, a characterization of the analysis of sentiments, job interviews and machine learning algorithms is first performed. Then, supervised machine learning with artificial neural networks is implemented in a prototype, due to the non-linear behavior described in the variables taken in the study and applying the Eye tracking technique. Finally, tests are carried out with people, in which, by asking questions of these, the involuntary movements of the pupil of the eye are analyzed, through the processing of a volume of data and the results of the ocular patterns are interpreted. Correlated with the questions of the test and with it, a final judgment is presented for the support of the decision making. © 2019, Springer Nature Switzerland AG.","Eye tracking; Job interview; Machine learning; Neural networks; Sentiment analysis","Behavioral research; Decision making; Eye movements; Eye tracking; Human computer interaction; Learning algorithms; Learning systems; Neural networks; Sentiment analysis; Supervised learning; Involuntary movements; Job interviews; Nonlinear behavior; Supervised machine learning; Machine learning",Conference Paper,"Final","",Scopus,2-s2.0-85072854620
"Ye X., König M.","57210795262;8883542500;","Applying eye tracking in virtual construction environments to improve cognitive data collection and human-computer interaction of site hazard identification",2019,"Proceedings of the 36th International Symposium on Automation and Robotics in Construction, ISARC 2019",,,,"1073","1080",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071467612&partnerID=40&md5=e60ede51eb7fda93d4c4b2ffb59cc495","Department of Civil and Environmental Engineering, Ruhr-University Bochum, Germany","Ye, X., Department of Civil and Environmental Engineering, Ruhr-University Bochum, Germany; König, M., Department of Civil and Environmental Engineering, Ruhr-University Bochum, Germany","In the Architecture, Engineering and Construction (AEC) field, eye tracking technology is being applied more frequently in cognitive research such as hazard identification. These studies typically use eye tracking in a diagnostic way and pay less attention to the application of virtual environment. However, in virtual environment, eye tracking not only can enhance the study of the cognitive process but also improves the human-computer interaction. Therefore, this paper elaborates on how we use eye tracking devices to track 3D objects in virtual environments diagnostically and interactively. First, we analyze the existing research gaps of using eye tracking in the construction industry. Then, we follow 3D object identification, diagnostic mode and interactive mode to develop a methodology by HTC VIVE device with Pupil Labs HTC Vive Binocular Add-on based on the research gaps. Finally, an example experiment is provided to demonstrate studying hazard identification using eye tracking in construction safety. For analyzing the eye movement data from the participants, we offer the number of confirmations, the scan path and the 3D heatmap of objects in both static and dynamic construction site scenes. This paper provides an approach of applying eye tracking to gather more data in virtual environment for the future cognitive studies and explores the possibility to improve human-computer interaction using eye tracking in the construction industry. © 2019 International Association for Automation and Robotics in Construction I.A.A.R.C. All rights reserved.","Eye tracking; Human-computer interaction; Site hazard identification; Virtual environment","Construction industry; Eye movements; Hazardous materials; Hazards; Human computer interaction; Robotics; Virtual reality; Architecture , engineering and constructions; Construction safety; Dynamic construction; Eye movement datum; Eye tracking devices; Eye tracking technologies; Hazard identification; Virtual construction; Eye tracking",Conference Paper,"Final","",Scopus,2-s2.0-85071467612
"Jiang J., Zhou X., Chan S., Chen S.","57211817476;55743240400;57188979700;24491760700;","Appearance-based gaze tracking: A brief review",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11745 LNAI",,,"629","640",,4,"10.1007/978-3-030-27529-7_53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070721293&doi=10.1007%2f978-3-030-27529-7_53&partnerID=40&md5=c12c4495fefdfe42eeb9ff5515532bf9","College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Electrical and Information Engineering, Quzhou University, Quzhou, China; School of Computer Communication and Engineering, Tianjin University of Technology, Tianjin, China","Jiang, J., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; Zhou, X., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China, College of Electrical and Information Engineering, Quzhou University, Quzhou, China; Chan, S., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; Chen, S., College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China, School of Computer Communication and Engineering, Tianjin University of Technology, Tianjin, China","Human gaze tracking plays an important role in the field of Human-Computer Interaction. This paper presents a brief review on appearance-based gaze tracking. Based on the appearance of human eyes, input features can be classified into three categories according to the different ways of extracting human eyes features, namely, complete human eye image, pixel-based feature and 3D reconstruction image. The estimation process from human eye feature to fixation point mainly uses different mapping functions. In this paper, common mapping functions and related algorithms are described in detail: k-nearest neighbor (KNN), random forest (RF) regression, gaussian process (GP) regression, support vector machines (SVM) and artificial neural networks (ANN). This paper evaluates the performance of these gaze tracking algorithms using different mapping functions. Based on the results of the evaluation, potential challenges are summarized and the future directions of gaze estimation are prospected. © Springer Nature Switzerland AG 2019.","Appearance-based; Gaze tracking; HCI; Mapping","Decision trees; Human computer interaction; Mapping; Nearest neighbor search; Neural networks; Robotics; Support vector machines; 3-D reconstruction images; Appearance based; Estimation process; Gaussian process; Gaze tracking; K nearest neighbor (KNN); Mapping functions; Related algorithms; Eye tracking",Conference Paper,"Final","",Scopus,2-s2.0-85070721293
"Feidakis M., Rangoussi M., Kasnesis P., Patrikakis C., Kogias D.G., Charitopoulos A.","36998244700;6602664727;57044812500;8244299800;56896083200;36995957700;","Affective assessment in distance learning: A semi-explicit approach",2019,"International Journal of Technologies in Learning","26","1",,"19","34",,,"10.18848/2327-0144/CGP/V26I01/19-34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070311024&doi=10.18848%2f2327-0144%2fCGP%2fV26I01%2f19-34&partnerID=40&md5=8b7b589331a3df6dbaef581c3f5ecb9a","Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece","Feidakis, M., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece; Rangoussi, M., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece; Kasnesis, P., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece; Patrikakis, C., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece; Kogias, D.G., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece; Charitopoulos, A., Department of Electrical and Electronics Engineering, University of West Attica (UWA), Egaleo, Attica, Greece","Modern e-learning and distance learning systems suffer severe lack of affect-aware interaction: the typical system is irresponsive to the affective state of the user, while even an inadequate human tutor would respond to it and even adapt his/her instruction accordingly. The main goal of this paper is to describe a scenario that deploys state-of-theart technologies to ""sense"" or ""gauge"" the affective state of a remote class of learners while they participate in a distance learning course, either synchronous or asynchronous, and provide feedback to all stakeholders (individual learner, peers, class tutor) through intuitive, easy-to-grasp visualisations. Both semi-automated, smart (selfreporting/ explicit) solutions through gestures and fully automated (user-transparent/implicit) solutions are sought through fusion of a number of ""experts"" (monitored features of the learner) that feed a decision-making algorithm after suitable processing. © Common Ground Research Networks, Michalis Feidakis, Maria Rangoussi, Panagiotis Kasnesis, Charalampos Patrikakis, Dimitrios G. Kogias, Angelos Charitopoulos.","Affective; Affective Computing; Analytics; Artificial Intelligence; Assessment; Deep Learning; Distance Learning; Emotion; Eye Gaze; Feedback; Gesture Analysis; Learning; State",,Article,"Final","",Scopus,2-s2.0-85070311024
"Alghamdi N., Alhalabi W.","57210260488;35316856000;","Fixation detection with ray-casting in immersive virtual reality",2019,"International Journal of Advanced Computer Science and Applications","10","7",,"60","65",,1,"10.14569/ijacsa.2019.0100710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070105246&doi=10.14569%2fijacsa.2019.0100710&partnerID=40&md5=0b1c3a8272b85f2545aa7c627a3c1751","Computer Science Department, King Abdulaziz University, Jeddah, Saudi Arabia","Alghamdi, N., Computer Science Department, King Abdulaziz University, Jeddah, Saudi Arabia; Alhalabi, W., Computer Science Department, King Abdulaziz University, Jeddah, Saudi Arabia","This paper demonstrates the application of a proposed eye fixation detection algorithm to eye movement recorded during eye gaze input within immersive Virtual Reality and compares it with the standard frame-by-frame analysis for validation. Pearson correlations and a sample paired t-test indicated strong correlations between the two analysis methods in terms of fixation duration. The results showed that the principle of eye movement event detection in 2D can be applied successfully in a 3D environment and ensures efficient detection when combined with ray-casting and event time. © 2018 The Science and Information (SAI) Organization Limited.","Eye Movement; Eye Tracking; Fixation Detection; HMD; Virtual Reality",,Article,"Final","",Scopus,2-s2.0-85070105246
"Bamidele A.A., Kamardin K., Aziz N.S.N.A., Sam S.M., Ahmed I.S., Azizan A., Bani N.A., Kaidi H.M.","57210261072;35618313700;57210259952;24465516500;57210255803;15130531400;57189337505;57215690928;","Non-intrusive driver drowsiness detection based on face and eye tracking",2019,"International Journal of Advanced Computer Science and Applications","10","7",,"549","569",,4,"10.14569/ijacsa.2019.0100775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070087301&doi=10.14569%2fijacsa.2019.0100775&partnerID=40&md5=4bab7955e28b51f7d52e4743a806b615","Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Wireless Communication Centre, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia","Bamidele, A.A., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Kamardin, K., Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia, Wireless Communication Centre, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Aziz, N.S.N.A., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Sam, S.M., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Ahmed, I.S., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Azizan, A., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia, Wireless Communication Centre, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Bani, N.A., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia; Kaidi, H.M., Razak School of Technology and Informatics, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia, Wireless Communication Centre, Universiti Teknologi Malaysia, Kuala Lumpur, 54100, Malaysia","The rate of annual road accidents attributed to drowsy driving are significantly high. Due to this, researchers have proposed several methods aimed at detecting drivers' drowsiness. These methods include subjective, physiological, behavioral, vehicle-based, and hybrid methods. However, recent reports on road safety are still indicating drowsy driving as a major cause of road accidents. This is plausible because the current driver drowsiness detection (DDD) solutions are either intrusive or expensive, thus hindering their ubiquitous nature. This research serves to bridge this gap by providing a test-bed for achieving a non-intrusive and low-cost DDD solution. A behavioral DDD solution is proposed based on tracking the face and eye state of the driver. The aim is to make this research an inception to DDD pervasiveness. To achieve this, National Tsing Hua University (NTHU) Computer Vision Lab's driver drowsiness detection video dataset was utilized. Several video and image processing operations were performed on the videos so as to detect the drivers' eye state. From the eye states, three important drowsiness features were extracted: percentage of eyelid closure (PERCLOS), blink frequency (BF), and Maximum Closure Duration (MCD) of the eyes. These features were then fed as inputs into several machine learning models for drowsiness classification. Models from the K-nearest Neighbors (KNN), Support Vector Machine (SVM), Logistic Regression, and Artificial Neural Networks (ANN) machine learning algorithms were experimented. These models were evaluated by calculating their accuracy, sensitivity, specificity, miss rate, and false alarm rate values. Although these five metrics were evaluated, the focus was more on getting optimal accuracies and miss rates. The result shows that the best models were a KNN model when k = 31 and an ANN model that used an Adadelta optimizer with 3 hidden layer network of 3, 27, and 9 neurons respective. The KNN model obtained an accuracy of 72.25% with a miss rate of 16.67%, while the ANN model obtained 71.61% and 14.44% accuracy and miss rate respectively. © 2018 The Science and Information (SAI) Organization Limited.","Artificial Neural Networks (ANN); Driver Drowsiness Detection (DDD); Eye tracking; Face tracking; K-nearest Neighbors (KNN); Logistic Regression; Support Vector Machine (SVM)",,Article,"Final","",Scopus,2-s2.0-85070087301
"Xu Q., Ragan E.D.","57194038669;26667185300;","Effects of Character Guide in Immersive Virtual Reality Stories",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11574 LNCS",,,"375","391",,2,"10.1007/978-3-030-21607-8_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069700181&doi=10.1007%2f978-3-030-21607-8_29&partnerID=40&md5=3562af033f3881ad2acee4082afc9bbd","Department of Visualization, Texas A&M University, College Station, TX  77840, United States; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL  32611, United States","Xu, Q., Department of Visualization, Texas A&M University, College Station, TX  77840, United States; Ragan, E.D., Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL  32611, United States","Bringing cinematic experiences from traditional film screens into Virtual Reality (VR) has become increasingly popular in recent years. However, striking a balance between storytelling and user interaction can cause a big challenge for filmmakers. In this paper, we present a media review on the common strategies that constructed the existing framework of computer generated cinematic VR by evaluating over 80 real-time rendered interactive experiences across different media. We summarized the most-used methods, which creators applied to maintain a relative control when presenting a narrative experience in VR, that were associated with story-progression strategies and attention guidance techniques. We then approach the problem of guiding the audience through major events of a story in VR by using a virtual character as a travel guide providing assistance in directing viewers attention to the target. To assess the effectiveness of this technique, we performed a controlled experiment applying the method in three VR videos. The experiment compared three variations of the character guide: (1) no guide, (2) a guide with a matching art style to the video, and (3) a guide with a non-matching art style. The experiment results provided insights for future directors and designers into how to draw viewers attention to a target point within a narrative VE, such as what could be improved and what should be avoided. © 2019, Springer Nature Switzerland AG.","3D interface; Character design; Gaze redirection; Interaction design; Interactive storytelling; Virtual Reality","Human computer interaction; Motion pictures; User interfaces; Virtual reality; 3D interface; Character designs; Gaze redirection; Interaction design; Interactive storytelling; Mixed reality",Conference Paper,"Final","",Scopus,2-s2.0-85069700181
"Hansberger J.T., Peng C., Blakely V., Meacham S., Cao L., Diliberti N.","6507505097;56921123800;57194689311;57194687255;57192903935;57210159309;","A Multimodal Interface for Virtual Information Environments",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11574 LNCS",,,"59","70",,5,"10.1007/978-3-030-21607-8_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069684664&doi=10.1007%2f978-3-030-21607-8_5&partnerID=40&md5=50f538de312dca8d631ef54ae86234ef","Army Research Laboratory, Huntsville, AL  35816, United States; University of Alabama in Huntsville, Huntsville, AL  35816, United States","Hansberger, J.T., Army Research Laboratory, Huntsville, AL  35816, United States; Peng, C., University of Alabama in Huntsville, Huntsville, AL  35816, United States; Blakely, V., University of Alabama in Huntsville, Huntsville, AL  35816, United States; Meacham, S., University of Alabama in Huntsville, Huntsville, AL  35816, United States; Cao, L., University of Alabama in Huntsville, Huntsville, AL  35816, United States; Diliberti, N., University of Alabama in Huntsville, Huntsville, AL  35816, United States","Continuing advances in multimodal technology, machine learning, and virtual reality are providing the means to explore and develop multimodal interfaces that are faster, more accurate, and more meaningful in the interactions they support. This paper describes an ongoing effort to develop an interface using input from voice, hand gestures, and eye gaze to interact with information in a virtual environment. A definition for a virtual environment tailored for the presentation and manipulation of information is introduced along with a new metaphor for multimodal interactions within a virtual environment. © 2019, Springer Nature Switzerland AG.","Gesture recognition; Multimodal interface; Virtual environment","Gesture recognition; Human computer interaction; Interactive computer graphics; Interactive computer systems; User interfaces; Virtual reality; Eye-gaze; Hand gesture; Multi-modal; Multi-Modal Interactions; Multi-modal interfaces; Virtual information; Mixed reality",Conference Paper,"Final","",Scopus,2-s2.0-85069684664
"Kato K., Prima O.D.A., Ito H.","57210157299;14060899300;56200735700;","3D Eye Tracking for Visual Imagery Measurements",2019,"Communications in Computer and Information Science","1033",,,"231","237",,,"10.1007/978-3-030-23528-4_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069682208&doi=10.1007%2f978-3-030-23528-4_32&partnerID=40&md5=76fa6641e977739366adabfb08c5d02f","Graduate School of Software and Information Science, Iwate Prefectural University, Takizawa, Japan","Kato, K., Graduate School of Software and Information Science, Iwate Prefectural University, Takizawa, Japan; Prima, O.D.A., Graduate School of Software and Information Science, Iwate Prefectural University, Takizawa, Japan; Ito, H., Graduate School of Software and Information Science, Iwate Prefectural University, Takizawa, Japan","Experiences of visual imagery, the ability to see in the mind’s eye, occur in various situations. The Vividness of Visual Imagery Questionnaire (VVIQ) has been widely used to subjectively measure the vividness of visualizers based on its score. For objective measurements, studies show that functional Magnetic Resonance Imaging (fMRI) can be used to measure individual variabilities of the vividness of visual imagery. However, questions are remained on how the visualizers see the images spatially. This study proposes a method to measure the spatial distribution of gaze in 3-dimensional space of an object seen by a visualizer using a glass-typed 3D eye tracker. The eye tracker estimated gaze in 3D based on vergence eye movements. Thus, if the visualizer reports good visual imagery of a given image, the eye tracker will be able to estimate the location of the object in 3-dimensional space. The eye tracker is equipped with polarizing lenses to enable the visualizer to see the given stimuli in both virtual and real worlds. Here, a 3D television (3DTV) is used to present the stimuli virtually. Ten introductory students completed the VVIQ and divided into two groups: High and low vividness visualizers, based on total scores of the VVIQ. Experiment results show that 3D gaze fixations of subjects who reported good visual imagery were relatively distributed around the location of the given stimuli. © Springer Nature Switzerland AG 2019.","3D-gaze; Eye tracking; Visual imagery; VVIQ","Eye movements; Human computer interaction; Magnetic resonance imaging; 3-dimensional spaces; 3D-gaze; Functional magnetic resonance imaging; Individual variability; Objective measurement; Vergence eye movements; Visual imagery; VVIQ; Eye tracking",Conference Paper,"Final","",Scopus,2-s2.0-85069682208
"Hirata Y., Soma H., Takimoto M., Kambayashi Y.","57210164277;57210164616;14632606500;57211703965;","Virtual Space Pointing Based on Vergence",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11567 LNCS",,,"259","269",,3,"10.1007/978-3-030-22643-5_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069675230&doi=10.1007%2f978-3-030-22643-5_21&partnerID=40&md5=40a3ae5b53897e54017e027037a37824","Department of Information Sciences, Tokyo University of Science, Chiba, Japan; Department of Computer and Information Engineering, Nippon Institute of Technology, Saitama, Japan","Hirata, Y., Department of Information Sciences, Tokyo University of Science, Chiba, Japan; Soma, H., Department of Information Sciences, Tokyo University of Science, Chiba, Japan; Takimoto, M., Department of Information Sciences, Tokyo University of Science, Chiba, Japan; Kambayashi, Y., Department of Computer and Information Engineering, Nippon Institute of Technology, Saitama, Japan","Recent virtual reality (VR) headsets make users perceive the three-dimensional (3D) virtual space through their parallax. The 3D space has been used for only passive use such as representing something put into intensive reality. We propose a new manner for pointing objects at specific locations in 3D space through vergence. In order to achieve this new manner, we have paid a close attention to the directions of eyes through parallax. Using the pointing manner, we cannot only drag icons or windows to any locations in 3D space, but also intuitively perform most desktop operations such as pilling up a pop-up menu and pushing a button. Because it is not easy for most people to control their vergence angle as they want, in our pointing manner, we present a feedback system of degree of vergence through an indicator appearing around a pointing cursor. In order to show the effectiveness of our proposal, we have implemented the pointing manner in a VR headset with an eye-tracker, and we have conducted numerical experiments. The experimental results show that our vergence based operations are feasible. © 2019, Springer Nature Switzerland AG.","Eye tracking; Indicator; Vergence; Virtual reality","Eye tracking; Geometrical optics; Indicators (instruments); Virtual reality; 3-D space; Eye trackers; Feedback systems; Numerical experiments; Specific location; Threedimensional (3-d); Vergences; Virtual spaces; Human computer interaction",Conference Paper,"Final","",Scopus,2-s2.0-85069675230
"Tangnimitchok S., O-larnnithipong N., Ratchatanantakit N., Barreto A.","56964500200;56902559100;57203136289;7007109179;","Affective Monitor: A Process of Data Collection and Data Preprocessing for Building a Model to Classify the Affective State of a Computer User",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11567 LNCS",,,"179","190",,1,"10.1007/978-3-030-22643-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069673144&doi=10.1007%2f978-3-030-22643-5_14&partnerID=40&md5=cd4be864a5c68bfc747ab835cfcf8572","Florida International University, Miami, FL  33174, United States","Tangnimitchok, S., Florida International University, Miami, FL  33174, United States; O-larnnithipong, N., Florida International University, Miami, FL  33174, United States; Ratchatanantakit, N., Florida International University, Miami, FL  33174, United States; Barreto, A., Florida International University, Miami, FL  33174, United States","This paper outlines the first phase of our implementation of a system for non-intrusive estimation of a computer user’s affective state based on the Circumplex Model of Affect [1], from monitoring the user’s pupil diameter and facial expression [2]. The details of the original design plan for this system have been described previously [2]. The outline describes each part of data collecting process including: Obtaining 3D facial coordinates by Kinect, recording the pupil diameter signal, embedding the facial expression to Facial Animation Parameter indices, and the description of how the experiment will be setup. © 2019, Springer Nature Switzerland AG.","Affective computing; AffectiveMonitor; Eye-gaze tracking; Facial expression recognition","Data acquisition; Eye tracking; Face recognition; Affective Computing; AffectiveMonitor; Data preprocessing; Eye gaze tracking; Facial animation parameters; Facial expression recognition; Facial Expressions; Non-intrusive estimation; Human computer interaction",Conference Paper,"Final","",Scopus,2-s2.0-85069673144
"Renker J., Kreutzfeldt M., Rinkenauer G.","56938677800;55881042000;6603586280;","Eye Blinks Describing the State of the Learner Under Uncertainty",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11597 LNCS",,,"444","454",,1,"10.1007/978-3-030-22341-0_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069672671&doi=10.1007%2f978-3-030-22341-0_35&partnerID=40&md5=d3c8ff6318cafb2011f65674578fb5eb","Leibniz Research Centre for Working Environments and Human Factors, Dortmund, Germany","Renker, J., Leibniz Research Centre for Working Environments and Human Factors, Dortmund, Germany; Kreutzfeldt, M., Leibniz Research Centre for Working Environments and Human Factors, Dortmund, Germany; Rinkenauer, G., Leibniz Research Centre for Working Environments and Human Factors, Dortmund, Germany","Adaptive systems are able to support the human-machine interaction in a great manner. However, the question arises which parameter are useful to gain insights into the user and can be easily implemented in the adaptive system. Eye blinks are frequent and most of the time automatic actions that reflect attentional and cognitive processes. They have not gained much attention in the context of adaptive systems until now. Thus, the current experiment investigated the number of blinks as an indicator of the state of the user while interacting with a technical system. Participants had to perform a dynamic visual spatial search task while their eye blinks were tracked. The task is to predict the appearance of target objects and thereby to learn a probability concept in order to improve the prediction. Results showed that eye blinks could distinguish between good and poor learner and increased parallel to the increasing task performance. Further, eye blinks reflected the information processing during the performance of a trial and the completion of the task. Thus, eye blinks might inform about the needs of the user with regard to the amount and detailedness of new information as well as additional help. However, the individual variability necessitates a separate baseline to be determined for each user. Further research is needed to foster the results also in more applied settings. © 2019, Springer Nature Switzerland AG.","Blink rate; Eyetracking; Mental representation; Probability learning; Uncertainty","Adaptive systems; Eye tracking; Blink rates; Cognitive process; Human machine interaction; Individual variability; Mental representations; Probability concepts; Probability learning; Uncertainty; Human computer interaction",Conference Paper,"Final","",Scopus,2-s2.0-85069672671
