"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Context-Aware Driver Distraction Severity Classification using LSTM Network","A. Fasanmade; S. Aliyu; Y. He; A. H. Al-Bayatti; M. S. Sharif; A. S. Alfakeeh","Faculty of Computing, Engineering and Media, De Montfort University,Leicester,UK; Faculty of Computing, Engineering and Media, De Montfort University,Leicester,UK; Faculty of Computing, Engineering and Media, De Montfort University,Leicester,UK; Faculty of Computing, Engineering and Media, De Montfort University,Leicester,UK; School of Architecture, Computing and Engineering, College of Arts, Technology and Innovation, UEL University Way, Dockland Campus,London,UK,E16 2RD; Faculty of Computing and Information Technology, King Abdulaziz University,Jeddah,KSA","2019 International Conference on Computing, Electronics & Communications Engineering (iCCECE)","27 Dec 2019","2019","","","147","152","Advanced Driving Assistance Systems (ADAS) has been a critical component in vehicles and vital to the safety of vehicle drivers and public road transportation systems. In this paper, we present a deep learning technique that classifies drivers' distraction behaviour using three contextual awareness parameters: speed, manoeuver and event type. Using a video coding taxonomy, we study drivers' distractions based on events information from Regions of Interest (RoI) such as hand gestures, facial orientation and eye gaze estimation. Furthermore, a novel probabilistic (Bayesian) model based on the Long short-term memory (LSTM) network is developed for classifying driver's distraction severity. This paper also proposes the use of frame-based contextual data from the multi-view TeleFOT naturalistic driving study (NDS) data monitoring to classify the severity of driver distractions. Our proposed methodology entails recurrent deep neural network layers trained to predict driver distraction severity from time series data.","","978-1-7281-2138-3","10.1109/iCCECE46942.2019.8941966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8941966","Context awareness;Driver Distraction;Severity prediction;dynamic Bayesian networks (DBN);LSTM networks;time series","Vehicles;Accidents;Monitoring;Task analysis;Safety;Visualization","Bayes methods;learning (artificial intelligence);recurrent neural nets;road safety;road traffic;road vehicles;traffic engineering computing;video coding","context-aware driver distraction severity classification;LSTM network;Advanced Driving Assistance Systems;vehicle drivers;public road transportation systems;deep learning technique;contextual awareness parameters;long short-term memory network;frame-based contextual data;multiview TeleFOT naturalistic driving study;recurrent deep neural network layers;regions of interest;video coding taxonomy;probabilistic Bayesian model","","","","25","","27 Dec 2019","","","IEEE","IEEE Conferences"
"A multi-layer artificial intelligence and sensing based affective conversational embodied agent","S. DiPaola; Ö. N. Yalçin","School of Interactive Art and Tech, Simon Fraser University,Vancouver,Canada; School of Interactive Art and Tech, Simon Fraser University,Vancouver,Canada","2019 8th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)","8 Dec 2019","2019","","","91","92","Building natural and conversational virtual humans is a task of formidable complexity. We believe that, especially when building agents that affectively interact with biological humans in real-time, a cognitive science-based, multilayered sensing and artificial intelligence (AI) systems approach is needed. For this demo, we show a working version (through human interaction with it) our modular system of natural, conversation 3D virtual human using AI or sensing layers. These including sensing the human user via facial emotion recognition, voice stress, semantic meaning of the words, eye gaze, heart rate, and galvanic skin response. These inputs are combined with AI sensing and recognition of the environment using deep learning natural language captioning or dense captioning. These are all processed by our AI avatar system allowing for an affective and empathetic conversation using an NLP topic-based dialogue capable of using facial expressions, gestures, breath, eye gaze and voice language-based two-way back and forth conversations with a sensed human. Our lab has been building these systems in stages over the years.","","978-1-7281-3891-6","10.1109/ACIIW.2019.8925291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8925291","artificial intelligence;conversational agent;embodied agent;deep learning;sensing systems;biosensing;affective computing;embodied character agents","Real-time systems;Emotion recognition;Streaming media;Machine learning;Biosensors","artificial intelligence;avatars;cognition;emotion recognition;face recognition;human computer interaction;interactive systems;learning (artificial intelligence);natural language processing;software agents","eye gaze;sensed human;affective conversational embodied agent;conversational virtual humans;formidable complexity;building agents;biological humans;cognitive science-based;multilayered sensing;working version;human interaction;modular system;conversation 3D virtual human;AI layers;sensing layers;facial emotion recognition;galvanic skin response;deep learning natural language captioning;AI avatar system;affective conversation;empathetic conversation;NLP topic-based dialogue;artificial intelligence system approach","","","","3","","8 Dec 2019","","","IEEE","IEEE Conferences"
"Self-Adaptive Appearance-Based Eye-Tracking with Online Transfer Learning","B. Klein Salvalaio; G. de Oliveira Ramos",SAP Labs Latin America; Universidade do Vale do Rio dos Sinos,"2019 8th Brazilian Conference on Intelligent Systems (BRACIS)","5 Dec 2019","2019","","","383","388","Eye-tracking plays a role in human-computer interactions and has proven useful in a wide variety of domains. We consider appearance-based eye-tracking, where one tracks eye movements based solely on conventional images (rather than on sophisticated additional hardware). Recent advances made in Deep Learning and, in particular, convolutional neural networks have allowed appearance-based eye-tracking to achieve better results than ever. However, current literature still lacks methods that generalize to different combinations of user, environment and device. In this work, we introduce Online Deep Appearance-Based Eye-Tracking (ODABE), which overcomes such a limitation by considering online transfer learning, thus enabling eye-tracking models to self-adapt to different context very rapidly. Our results show that ODABE improves upon previous research when context changes, decreasing the prediction error by 50.95% on average, on tested cases.","2643-6264","978-1-7281-4253-1","10.1109/BRACIS.2019.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8924035","Deep Learning;Eye-Tracking;Gaze-Tracking;Transfer Learning","Context modeling;Face;Neural networks;Training;Webcams;Proposals;Machine learning","convolutional neural nets;gaze tracking;human computer interaction;image classification;learning (artificial intelligence)","online transfer learning;online deep appearance-based eye-tracking;self-adaptive appearance-based eye-tracking;human-computer interactions;deep learning;convolutional neural networks;ODABE","","","","19","","5 Dec 2019","","","IEEE","IEEE Conferences"
"Focus on Area Tracking Based on Deep Learning for Multiple Users","H. Chen; B. Hwang; W. Hsu; C. Kao; W. Chen","Department of Computer and Communication Engineering, Ming Chuan University, Taipei, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taipei, Taiwan; Department of Information Management, National Taichung University of Science and Technology, Taichung, Taiwan; Department of Applied Information Technology, Hsing Wu University of Science and Technology, Taipei, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taipei, Taiwan","IEEE Access","23 Dec 2019","2019","7","","179477","179491","Most eye-tracking experiments are limited to single subjects because gaze points are difficult to track when multiple users are involved and environmental factors might cause interference. To overcome this problem, this paper proposes a method for gaze tracking that can be applied for multiple users simultaneously. Four models, including FASEM, FAEM and FAFRCM in the signal-user environment, as well as FAEM and FAMAM in the multiple-user environment, are proposed, and we collected raw data of gazing behaviors to train the models. Through a modified VGG19 architecture and adjusting the Number of Convolutional Layers (NoCL), we obtained and compared the accuracy of various models to determine the most suitable architecture. Since data for multiple-users is not easy to obtain, in this paper, we trained the model first with single users, then extended it to multiple users with transfer learning. Finally, we propose an adaptive method to integrate the benefits of FAEM and FAMAM.","2169-3536","","10.1109/ACCESS.2019.2956953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918265","Multiple users;gaze-tracking;position clustering;deep learning","Training;Data models;Cameras;Machine learning;Head;Gaze tracking;Advertising","convolutional neural nets;gaze tracking;learning (artificial intelligence);object tracking","transfer learning;NoCL;convolutional layers;modified VGG19 architecture;raw data collection;FAFRCM;FASEM;FAEM;gaze points;deep learning;eye-tracking experiments;multiple-user environment;signal-user environment;gaze tracking","","","","28","CCBY","2 Dec 2019","","","IEEE","IEEE Journals"
"Deep Spatio-Temporal Modeling for Object-Level Gaze-Based Relevance Assessment","K. Stavridis; A. Psaltis; A. Dimou; G. T. Papadopoulos; P. Daras",Centre for Research and Technology Hellas; Centre for Research and Technology Hellas; Centre for Research and Technology Hellas; Centre for Research and Technology Hellas; Centre for Research and Technology Hellas,"2019 27th European Signal Processing Conference (EUSIPCO)","18 Nov 2019","2019","","","1","5","The current work investigates the problem of objectlevel relevance assessment prediction, taking into account the user's captured gaze signal (behaviour) and following the Deep Learning (DL) paradigm. Human gaze, as a sub-conscious response, is influenced from several factors related to the human mental activity. Several studies have so far proposed methodologies based on the use of gaze statistical modeling and naive classifiers for assessing images or image patches as relevant or not to the user's interests. Nevertheless, the outstanding majority of literature approaches only relied so far on the use of handcrafted features and relative simple classification schemes. On the contrary, the current work focuses on the use of DL schemes that will enable the modeling of complex patterns in the captured gaze signal and the subsequent derivation of corresponding discriminant features. Novel contributions of this study include: a) the introduction of a large-scale annotated gaze dataset, suitable for training DL models, b) a novel method for gaze modeling, capable of handling gaze sensor errors, and c) a DL based method, able to capture gaze patterns for assessing image objects as relevant or non-relevant, with respect to the user's preferences. Extensive experiments demonstrate the efficiency of the proposed method, taking also into consideration key factors related to the human gaze behaviour.","2076-1465","978-9-0827-9703-9","10.23919/EUSIPCO.2019.8902990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8902990","Gaze modeling;DL;relevance assessment","Task analysis;Predictive models;Search problems;Context modeling;Visualization;Monitoring;Europe","gaze tracking;image classification;learning (artificial intelligence);neural nets;statistical analysis","gaze statistical modeling;image patches;large-scale annotated gaze dataset;DL models;gaze modeling;gaze sensor errors;gaze patterns;human gaze behaviour;object-level gaze-based relevance assessment;human mental activity;gaze signal;deep spatio-temporal modeling;object-level relevance assessment prediction","","","","22","","18 Nov 2019","","","IEEE","IEEE Conferences"
"Gaze Tracking by Joint Head and Eye Pose Estimation Under Free Head Movement","S. Cristina; K. P. Camilleri","University of Malta,Department of Systems and Control Engineering,Msida,Malta; University of Malta,Department of Systems and Control Engineering,Msida,Malta","2019 27th European Signal Processing Conference (EUSIPCO)","18 Nov 2019","2019","","","1","5","Recent trends in the field of eye-gaze tracking have been shifting towards the estimation of gaze direction in everyday life settings, hence calling for methods that alleviate the constraints typically associated with existing methods, which limit their applicability in less controlled conditions. In this paper, we propose a method for eye-gaze estimation as a function of both eye and head pose components, without requiring prolonged user-cooperation prior to gaze estimation. Our method exploits the trajectories of salient feature trackers spread randomly over the face region for the estimation of the head rotation angles, which are subsequently used to drive a spherical eye-in-head rotation model that compensates for the changes in eye region appearance under head rotation. We investigate the validity of the proposed method on a publicly available data set.","2076-1465","978-9-0827-9703-9","10.23919/EUSIPCO.2019.8902786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8902786","Eye-gaze tracking;pervasive;passive","Faces;Estimation;Shape;Tracking;Kalman filters;Feature extraction","eye;face recognition;feature extraction;gaze tracking;pose estimation","joint head;free head movement;eye-gaze tracking;gaze direction;everyday life settings;controlled conditions;eye-gaze estimation;prolonged user-cooperation;salient feature trackers;head rotation angles;spherical eye-in-head rotation model;eye region appearance","","","","30","","18 Nov 2019","","","IEEE","IEEE Conferences"
"A Framework For Human Behaviour Detection Using Combined Analysis of Facial Expression and Eye Gaze","P. J. Das; A. k. Talukdar; K. K. Sarma","Gauhati University,Dept. of Electronics and Communication Engineering,Guwahati,India,781014; Gauhati University,Dept. of Electronics and Communication Engineering,Guwahati,India,781014; Gauhati University,Dept. of Electronics and Communication Engineering,Guwahati,India,781014","2019 2nd International Conference on Innovations in Electronics, Signal Processing and Communication (IESC)","18 Nov 2019","2019","","","154","160","Facial appearances like a happy, sad, disgust, surprise, angry, fear and Eye Gaze Estimations are the fastest means of communication while conveying any type of information. Expressions not only expose the sensitivity or feelings of any person but can also be used to judge his/her mental states. Therefore, it has become a wide interest area of research due to its applications to the fields like Human Computer Interface (HCI), Man Machine Interface (MMI) etc. In order to get more effective human behavior identification, we have presented a combination of facial expression recognition and eye gaze estimation technique where we have to recognize the real time expressions by using Convolutional Neural Network (CNN) model with transfer learning method. After that, we determine the eye gaze by using Viola Jones, Circular Hough Transform (CHT) and a geometric method. With the combination of both processes, we able to predict the human behavior like drivers concentration levels. In this way experiments are carried out on MUG database for our own trained CNN model based on VGG16 (Visual Geometry Group) pre trained model and gives better performance with accuracy of 93% for training and 94% for overall process.","","978-1-7281-0744-8","10.1109/IESPC.2019.8902367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8902367","Face detection;face recognition;facial expression;eye gaze estimation;transfer learning CNN;VGG16","","","","","","","9","","18 Nov 2019","","","IEEE","IEEE Conferences"
"Training a Camera to Perform Long-Distance Eye Tracking by Another Eye-Tracker","W. Li; Q. Dong; H. Jia; S. Zhao; Y. Wang; L. Xie; Q. Pan; F. Duan; T. Liu","Department of Automation and Intelligence, College of Artificial Intelligence, Nankai University, Tianjin, China; Cortical Architecture Imaging and Discovery Lab, University of Georgia, Athens, GA, USA; Department of Automation and Intelligence, College of Artificial Intelligence, Nankai University, Tianjin, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; Department of Automation and Intelligence, College of Artificial Intelligence, Nankai University, Tianjin, China; Department of Instrument Science and Technology, Zhejiang University, Hangzhou, China; Xi’an iSoftStone Network Technology Company Ltd., Xi’an, China; Department of Automation and Intelligence, College of Artificial Intelligence, Nankai University, Tianjin, China; Cortical Architecture Imaging and Discovery Lab, University of Georgia, Athens, GA, USA","IEEE Access","31 Oct 2019","2019","7","","155313","155324","Appearance-based gaze estimation techniques have been greatly advanced in these years. However, using a single camera for appearance-based gaze estimation has been limited to short distance in previous studies. In addition, labeling of training samples has been a time-consuming and unfriendly step in previous appearance-based gaze estimation studies. To bridge these significant gaps, this paper presents a new long-distance gaze estimation paradigm: train a camera to perform eye tracking by another eye tracker, named Learning-based Single Camera eye tracker (LSC eye-tracker). In the training stage, the LSC eye-tracker simultaneously acquired gaze data by a commercial trainer eye tracker and face appearance images by a long-distance trainee camera, based on which deep convolutional neural network (CNN) models are utilized to learn the mapping from appearance images to gazes. In the application stage, the LSC eye-tracker works alone to predict gazes based on the acquired appearance images by the single camera and the trained CNN models. Our experimental results show that the LSC eye-tracker enables both population-based eye tracking and personalized eye tracking with promising accuracy and performance.","2169-3536","","10.1109/ACCESS.2019.2949150","National Natural Science Foundation of China(grant numbers:61673224); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880636","Eye tracking;gaze estimation;human-computer interaction;machine learning","Cameras;Gaze tracking;Estimation;Training;Face;Data models;Labeling","cameras;convolutional neural nets;data acquisition;estimation theory;eye;face recognition;gaze tracking;image resolution;learning (artificial intelligence);object tracking","commercial trainer eye tracker;face appearance images;long-distance trainee camera;LSC eye-tracker works;population-based eye tracking;deep CNN;personalized eye tracking;camera training;long-distance eye tracking;learning-based single camera eye tracker;LSC eye-tracker;long-distance gaze estimation;gaze data acquisition;deep convolutional neural network","","2","","40","CCBY","23 Oct 2019","","","IEEE","IEEE Journals"
"Gaze Estimation Based on Neural Network","M. Luo; X. Liu; W. Huang","Nanchang University,School of Information Engineering,Nanchang,China; Nanchang University,School of Information Engineering,Nanchang,China; Nanchang University,School of Information Engineering,Nanchang,China","2019 IEEE 2nd International Conference on Electronic Information and Communication Technology (ICEICT)","23 Oct 2019","2019","","","590","594","In this study, we selected some state-of-the-art or classic neural network models for recently popular research problem gaze estimation. Experimental analysis based on eyegaze data set compares different models and suggests that neural networks can achieve excellent performance in gaze estimation problem while original Capsule Network provides the best performance and 18-layers ResNet is second-best in all models.","","978-1-5386-9298-1","10.1109/ICEICT.2019.8846281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846281","gaze estimation;neural network;Capsule;ResNet","Estimation;Convolution;Light sources;Training;Feature extraction;Neural networks;Analytical models","","","","","","11","","23 Oct 2019","","","IEEE","IEEE Conferences"
"Understanding Face Age Estimation: humans and machine","J. Alarifi; J. Fry; D. Dancey; M. H. Yap","Faculty of Science and Engineering, Manchester Metropolitan University; Faculty of Science and Engineering, Manchester Metropolitan University; Faculty of Science and Engineering, Manchester Metropolitan University; Faculty of Science and Engineering, Manchester Metropolitan University","2019 International Conference on Computer, Information and Telecommunication Systems (CITS)","11 Oct 2019","2019","","","1","5","Face age estimation is an important part of many disciplines, including dermatology, cosmetology, and computer vision. Traditional age estimation studies focus on certain parts of the face to analyse its surface topology. With the advances of deep learning, many Convolutional Neural Networks (CNNs) now outperform traditional methods in the age estimation task. However, it is still not clear what type of features these networks learn when estimating age. This study aims to investigate which facial features are important, for humans and for CNNs, on the age estimation of women in five age groups. We then compare the heat-maps from the human eye gaze with those of the CNN. We consider two main research questions: (1) Which facial regions do humans look at when performing age estimation? (2) Do humans and machine focus on the same facial regions when estimating the age? We answered these questions by conducting two experiments. In the first experiment, we used an eye-tracking software to detect where on the face the gaze of human participants focused the most when they were asked to assign the person in the image to an age class. In the second experiment, we used transfer learning on the network pre-trained on ImageNet, then fine-tuned the network on a benchmark face age dataset to classify the same images shown to the participants. The heat-maps of the VGG16 network were then visualised using Gradient-based Class Activation Map (Grad-CAM). The results showed how our model was almost as accurate as humans in predicting the age of a person from a single image of their face (CNN: 60%; humans: 61%). The results also showed that people mainly look at the eyes and nose when predicting a person's age, while the features learned by the CNN included the eyes, the mouth, and the skin surface.","","978-1-7281-1374-6","10.1109/CITS.2019.8862107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8862107","","Face;Skin;Estimation;Aging;Task analysis;Computer vision;Heating systems","computer vision;face recognition;feature extraction;image classification;learning (artificial intelligence);neural nets;skin","facial regions;human participants;age class;benchmark face age dataset;heat-maps;person;face age estimation;traditional age estimation studies;Convolutional Neural Networks now outperform traditional methods;age estimation task;estimating age;age groups;human eye gaze;performing age estimation","","1","","35","","11 Oct 2019","","","IEEE","IEEE Conferences"
"Unsupervised Learning of Eye Gaze Representation from the Web","N. Dubey; S. Ghosh; A. Dhall","Learning Affect and Semantic Image analysIs (LASII) Group, Indian Institute of Technology Ropar, Ropar, India; Learning Affect and Semantic Image analysIs (LASII) Group, Indian Institute of Technology Ropar, Ropar, India; Learning Affect and Semantic Image analysIs (LASII) Group, Indian Institute of Technology Ropar, Ropar, India","2019 International Joint Conference on Neural Networks (IJCNN)","30 Sep 2019","2019","","","1","7","Automatic eye gaze estimation has interested researchers for a while now. In this paper, we propose an unsupervised learning based method for estimating the eye gaze region. To train the proposed network ""Ize-Net"" in self-supervised manner, we collect a large `in the wild' dataset containing 1,54,251 images from the web. For the images in the database, we divide the gaze into three regions based on an automatic technique based on pupil-centers localization and then use a feature-based technique to determine the gaze region. The performance is evaluated on the Tablet Gaze and CAVE datasets by fine-tuning results of Ize-Net for the task of eye gaze estimation. The feature representation learned is also used to train traditional machine learning algorithms for eye gaze estimation. The results demonstrate that the proposed method learns a rich data representation, which can be efficiently finetuned for any eye gaze estimation dataset.","2161-4407","978-1-7281-1985-4","10.1109/IJCNN.2019.8851961","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8851961","","Estimation;Feature extraction;Task analysis;Head;Iris;Neural networks;Lighting","gaze tracking;image representation;Internet;performance evaluation;unsupervised learning","feature-based technique;feature representation;unsupervised learning based method;automatic eye gaze estimation dataset;eye gaze representation;Web;Ize-Net network;pupil-center localization;CAVE dataset;Tablet Gaze datasets;data representatio","","1","","51","","30 Sep 2019","","","IEEE","IEEE Conferences"
"Improving the realism of synthetic images through a combination of adversarial and perceptual losses","C. Atapattu; B. Rekabdar","Department of Computer Science, Southern Illinois University, Carbondale, USA; Department of Computer Science, Southern Illinois University, Carbondale, USA","2019 International Joint Conference on Neural Networks (IJCNN)","30 Sep 2019","2019","","","1","7","In recent years, deep learning methods are becoming more widely used; however, large quantities of labeled training data are required for most models. Labeling large datasets is tedious, expensive, and time consuming. Generating large labeled synthetic datasets, on the other hand, is easier and less expensive since annotations are available. But there is usually a large gap between the distribution of the synthetic and real data. In this paper, we propose a novel method based on Generative Adversarial Networks (GANs) to improve the realism of the synthetic images while preserving the annotation information. In our work the inputs of the GANs are synthetic images instead of random vectors. Furthermore, we describe how a perceptual loss can be utilized while introducing the basic features and techniques from adversarial networks for obtaining better results. We evaluate our approach for appearance-based gaze direction classification on the MPIIGaze dataset. The results show that our generated refined images are more realistic and better preserve the annotation information than the refined images generated by the state-of-the-art methods.","2161-4407","978-1-7281-1985-4","10.1109/IJCNN.2019.8852449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8852449","deep learning;adversarial network;unsupervised learning;synthetic images;generative adversarial network","Annotations;Gallium nitride;Generative adversarial networks;Mathematical model;Training;Neural networks;Feature extraction","computer vision;feature extraction;gaze tracking;image classification;learning (artificial intelligence);neural nets","synthetic images;adversarial losses;perceptual losses;deep learning methods;labeled synthetic datasets;GANs;MPIIGaze dataset;generative adversarial networks;appearance-based gaze direction classification","","2","","27","","30 Sep 2019","","","IEEE","IEEE Conferences"
"Eye Gaze Region Estimation via Multi-scale Sparse Dictionary Learning","G. Yuan; Y. Wang; T. Zhao; X. Ding; Z. Mi; X. Fu","Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China; Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China; Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China; Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China; Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China; Information Science and Technology College, Dalian Maritime University, Dalian, 116026, China","2019 14th IEEE Conference on Industrial Electronics and Applications (ICIEA)","16 Sep 2019","2019","","","1459","1463","Traditional model-based gaze estimation methods relying on pupil or iris detection is vulnerable under large head movement. To solve this problem, a novel head pose-free appearance-based eye gaze prediction method without gaze calibration is proposed, combining head pose information and multi-scale eye image sparse features to determine the gaze region. Multi-scale dictionaries are learned by sparse coding to represent eye appearance more effectively, in which whole eye images are employed as global scale while their corresponding distinct patch-based images as local scale. Supported by multiscale dictionaries, multi-scale eye image sparse features are the sparse coefficients encoding eye image by linear combinations of bases selected from the learned dictionaries. In order to handle gaze variation under large head movement, a multiclass classifier concatenates the known head pose information and multi-scale eye image sparse features to estimate the gaze region. The experimental results show that the proposed approach outperforms baseline methods on a public dataset.","2158-2297","978-1-5386-9490-9","10.1109/ICIEA.2019.8833727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833727","Gaze estimation;Dictionary learning;Appearance;Gaze region","Dictionaries;Head;Estimation;Feature extraction;Image coding;Image reconstruction;Machine learning","estimation theory;image classification;image coding;learning (artificial intelligence);prediction theory","multiscale sparse dictionary learning;multiscale eye image sparse features;distinct patch-based imaging;head pose-free appearance-based eye gaze prediction method;iris detection;traditional model-based eye gaze region estimation methods;gaze calibration;sparse coding;multiclass classifier concatenation","","","","9","","16 Sep 2019","","","IEEE","IEEE Conferences"
"Accurate and robust eye center localization via fully convolutional networks","Y. Xia; H. Yu; F. Wang","School of Creative Technologies, University of Portsmouth, Portsmouth, PO1 2DJ, UK; School of Creative Technologies, University of Portsmouth, Portsmouth, PO1 2DJ, UK; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China","IEEE/CAA Journal of Automatica Sinica","3 Sep 2019","2019","6","5","1127","1138","Eye center localization is one of the most crucial and basic requirements for some human-computer interaction applications such as eye gaze estimation and eye tracking. There is a large body of works on this topic in recent years, but the accuracy still needs to be improved due to challenges in appearance such as the high variability of shapes, lighting conditions, viewing angles and possible occlusions. To address these problems and limitations, we propose a novel approach in this paper for the eye center localization with a fully convolutional network (FCN), which is an end-to-end and pixels-to-pixels network and can locate the eye center accurately. The key idea is to apply the FCN from the object semantic segmentation task to the eye center localization task since the problem of eye center localization can be regarded as a special semantic segmentation problem. We adapt contemporary FCN into a shallow structure with a large kernel convolutional block and transfer their performance from semantic segmentation to the eye center localization task by fine-tuning. Extensive experiments show that the proposed method outperforms the state-of-the-art methods in both accuracy and reliability of eye center localization. The proposed method has achieved a large performance improvement on the most challenging database and it thus provides a promising solution to some challenging applications.","2329-9274","","10.1109/JAS.2019.1911684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823575","","Semantics;Task analysis;Hidden Markov models;Kernel;Estimation;Lighting;Computer vision","convolutional neural nets;eye;gaze tracking;human computer interaction;image resolution;image segmentation","eye tracking;fully convolutional network;eye center localization task;eye gaze estimation;robust eye center localization;human-computer interaction applications;end-to-end network;pixels-to-pixels network;semantic segmentation problem;kernel convolutional block","","10","","","","3 Sep 2019","","","IEEE","IEEE Journals"
"Deep Learning for Consumer Devices and Services 2—AI Gets Embedded at the Edge","P. Corcoran; J. Lemley; C. Costache; V. Varkarakis",National University of Ireland Galway (NUIG); National University of Ireland Galway (NUIG); National University of Ireland Galway (NUIG); National University of Ireland Galway (NUIG),"IEEE Consumer Electronics Magazine","2 Sep 2019","2019","8","5","10","19","The recent explosive growth of deep learning is enabling a new generation of intelligent consumer devices. Specialized deep learning inference now provides data analysis capabilities that once required an active cloud connection, while reducing latency and enhancing data privacy. This paper addresses current progress in Edge artificial intelligence (AI) technology in several consumer contexts including privacy, biometrics, eye gaze, driver monitoring systems, and more. New developments and challenges in edge hardware and emerging opportunities are identified. Our previous article, “Deep learning for consumer devices and services,” introduced many of the basics of deep learning and AI. In this paper, we explore the current paradigm shift of AI from the data center into CE devices-“Edge-AI”.","2162-2256","","10.1109/MCE.2019.2923042","Science Foundation Ireland and FotoNation, Ltd.(grant numbers:13/SPP/I2868); Next Generation Imaging for Smartphone and Embedded Platforms; Irish Research Council(grant numbers:EBPPG/2016/280); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822518","","Cameras;Deep learning;Authentication;Iris recognition;Image edge detection;Intelligent systems","cloud computing;data analysis;data privacy;human factors;learning (artificial intelligence)","deep learning inference;consumer contexts;edge artificial intelligence technology;edge-AI;CE devices;edge hardware;data privacy;active cloud connection;data analysis capabilities;intelligent consumer devices","","1","","56","IEEE","2 Sep 2019","","","IEEE","IEEE Magazines"
"Low Cost Eye Gaze Tracker Using Web Camera","M. S. Mounica; M. Manvita; C. Jyotsna; J. Amudha","Dept. of Computer Science & Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India; Dept. of Computer Science & Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India; Dept. of Computer Science & Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India; Dept. of Computer Science & Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India","2019 3rd International Conference on Computing Methodologies and Communication (ICCMC)","29 Aug 2019","2019","","","79","85","The traditional gaze tracking systems are of invasive, expensive or not of a standard hardware. To address this problem, research has been focused onto systems with simple hardware with gaze tracking systems. We propose a system which uses web camera and the free open source Computer Vision Library Open CV. Gaze estimation plays a major role in predicting human attention and understanding human activities. It is also used in market analysis, gaze driven interactive displays, medical research, usability research, packaging research, gaming research, psychology research, and other human-machine interfaces. This paper describes how to develop a low cost eye gaze system using a simple web camera. The system captures real time video of the person to detect the eyes in the initial frames and extract the features of eyes. Once the features are extracted, the eyes are tracked in the subsequent frames and the gaze direction is estimated using the computational intelligence techniques.","","978-1-5386-7808-4","10.1109/ICCMC.2019.8819645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8819645","eye tracking;gaze estimation;human computer interaction;web camera;calibration","Gaze tracking;Calibration;Neural networks;Cameras;Streaming media;Matlab;Genetic algorithms","cameras;computer vision;gaze tracking;human computer interaction;user interfaces;video signal processing","low cost eye gaze tracker;traditional gaze tracking systems;free open source Computer Vision Library Open CV;gaze estimation;human attention;gaze driven interactive displays;medical research;usability research;packaging research;gaming research;psychology research;human-machine interfaces;low cost eye gaze system;simple web camera;gaze direction","","1","","14","","29 Aug 2019","","","IEEE","IEEE Conferences"
